Location,Category,Address,Latitude/Longitude,Phone,Website,Schedule,Description,Lifestyle
Red Hat on the River,Eatery,"1 Bridge St, Irvington, NY 10533","41.039617, -73.872950",(914) 591-5888,http://redhatontheriver.com,,Chic riverfront bistro in two-floor factory building with rooftop bar.,Cosmopolitan
Black Cat Cafe,Cafe,"45 Main St, Irvington, NY 10533","41.039614, -73.870143",(914) 231-9060,http://blackcatchef.com,,Parisian-feeling sidewalk cafe.,Cosmopolitan
Lyndhurst,Attraction,"635 S Broadway, Tarrytown, NY 10591","41.054026, -73.866784",(914) 631-4481,http://lyndhurst.org,,"Gothic Revival mension on 67 acres, hosting tours and events.",Cosmopolitan
Kykuit,Attraction,"381 N Broadway, Sleepy Hollow, NY 10591","41.089387, -73.843753",(914) 366-6900,http://hudsonvalley.org,,The Rockefeller's legendary Pocantico Hills estate.,Cosmopolitan
Dia: Beacon,Attraction,"3 Beekman St, Beacon, NY 12508","41.500248, -73.982067",(845) 440-0100,http://diaart.org,,World-class contemporary art museum in former factory.,Cosmopolitan
Caramoor,Attraction,"149 Girdle Ridge Rd, Katonah, NY 10536","41.242851, -73.645061",(914) 232-1252,http://caramoor.org,,Mediterranean estate with courtyard concerts and othe programming.,Cosmopolitan
Tito Santana Taqueria,Eatery,"142 Main St, Beacon, NY 12508","41.508448, -73.976122",(845) 765-2350,http://www.tacosantana.com,,Scratch-made tacos with a twist.,Cosmopolitan
Jacob Burns Film Center,Attraction,"364 Manville Rd, Pleasantville, NY 10570","41.135062, -73.791522",(914) 773-7663,http://burnsfilmcenter.org,,"Indie, foreign and classic films in state-of-the-art facility.",Cosmopolitan
Capitol Theater,Attraction,"149 Westchester Ave, Port Chester, NY 10573","41.001577, -73.665357",(914) 937-4126,http://thecapitoltheatre.com,,Renovated 1920s playhouse hosting well-known acts.,Cosmopolitan
Bruce Museum,Attraction,"1 Museum Dr, Greenwich, CT 06830","41.019736, -73.622442",(203) 869-0376,http://brucemuseum.org,,"Rotating art, science and natural history exhibits.",Cosmopolitan
Chutney Masala,Eatery,"76 Main St, Irvington, NY 10533","41.039099, -73.868651",(914) 591-5500,http://chutneymasala.com,,Wide range of classic and updated Northern Indian dishes.,Cosmopolitan
